ID del mensaje del chat en directo,ID de canal,Marca de tiempo de creación del mensaje del chat en directo,Precio,ID de vídeo,Texto del mensaje del chat en directo
UgyWqlCgNcfbJSykdMt4AaABDqgBlPTRgQI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:52:06.488068+00:00,0,1F_EcYBkcCQ,"{""text"":""la venganza de royalty gente""}"
Ugzdj13ZIvT0JMreMUZ4AaABDqgBz97uhAI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:50:31.814936+00:00,0,1F_EcYBkcCQ,"{""text"":""gyvo la bomba cordobesa""}"
UgwaHEWPD2Elsqva9Sd4AaABDqgBs5DWkgI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:49:08.892956+00:00,0,1F_EcYBkcCQ,"{""text"":""ok mp entrndí un carajo""}"
UgzVeKTcwG-EwfulcNZ4AaABDqgBkc28hgI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:48:12.48853+00:00,0,1F_EcYBkcCQ,"{""text"":""darla chekiame esto""}"
UgwrLq_GEduPOzjMJIl4AaABDqgBso-SmAI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:47:26.983866+00:00,0,1F_EcYBkcCQ,"{""text"":""dragaza is cancelled""}"
UgxihXzSBtVWlPLsL2h4AaABDqgBq6zBlQI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:47:03.844036+00:00,0,1F_EcYBkcCQ,"{""text"":""NO HAY FORMA CHABON""}"
UgxLx2n4N2-9qJ8AEAV4AaABDqgBgbTclAI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:46:55.298821+00:00,0,1F_EcYBkcCQ,"{""text"":""NO""}"
UgxA5BBS2uyxwk8_wxd4AaABDqgBiIaymwI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:46:10.979046+00:00,0,1F_EcYBkcCQ,"{""text"":""AYKRAM MI REINA""}"
UgwYhECwd3TjLOM458N4AaABDqgB8sKemwI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:45:50.748773+00:00,0,1F_EcYBkcCQ,"{""text"":""TETAS REVEAL""}"
Ugy1iVxV5OiO5YuxOw54AaABDqgBmMD8lwI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:44:32.085004+00:00,0,1F_EcYBkcCQ,"{""text"":""y khenya?""}"
Ugw45FdFps1wyfshdBF4AaABDqgB-tGBlgI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:43:25.974877+00:00,0,1F_EcYBkcCQ,"{""text"":""ROYALTY??QUE DIC""}"
Ugw9yATZORKhkXFxfxp4AaABDqgBqPiXgQI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:41:59.354533+00:00,0,1F_EcYBkcCQ,"{""text"":""entonces... el fluído era salvia""}"
Ugya6KXbK1a7nA-i8Kd4AaABDqgBofy-nQI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:40:37.892165+00:00,0,1F_EcYBkcCQ,"{""text"":""I feel personally attacked""}"
Ugx3LdFkS6X_vZ788Et4AaABDqgBxLnihwI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:33:19.093418+00:00,0,1F_EcYBkcCQ,"{""text"":""foxy al oscar""}"
Ugz3OhVW7K9S5FHbFFV4AaABDqgBh4-EjwI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:26:58.963827+00:00,0,1F_EcYBkcCQ,"{""text"":""SORBÉ EL TÉ KENYA""}"
Ugy5Sh2LM7ShcfTIhWx4AaABDqgBvefGjwI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:26:48.434184+00:00,0,1F_EcYBkcCQ,"{""text"":""OMGG""}"
UgzTEVC9VkNtnzeZIeF4AaABDqgBiMnsmgI,UCrPbFn1WLEtkQE8eAuDzVVA,2020-05-11T00:16:31.763201+00:00,0,1F_EcYBkcCQ,"{""text"":""mamá mistik""}"





